2025-05-24 15:43:27.553 [] [] INFO  [restartedMain] c.o.g.GestionStockApplication - Starting GestionStockApplication using Java 17.0.7 with PID 26526 (/Users/mac/Desktop/stock/gestion_stock/target/classes started by mac in /Users/mac/Desktop/stock/gestion_stock)
2025-05-24 15:43:27.559 [] [] INFO  [restartedMain] c.o.g.GestionStockApplication - The following 1 profile is active: "dev"
2025-05-24 15:43:27.682 [] [] INFO  [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-05-24 15:43:27.684 [] [] INFO  [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-05-24 15:43:30.027 [] [] INFO  [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-05-24 15:43:30.206 [] [] INFO  [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 165 ms. Found 19 JPA repository interfaces.
2025-05-24 15:43:31.999 [] [] INFO  [restartedMain] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8084 (http)
2025-05-24 15:43:32.012 [] [] INFO  [restartedMain] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-05-24 15:43:32.012 [] [] INFO  [restartedMain] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
2025-05-24 15:43:32.111 [] [] INFO  [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-05-24 15:43:32.112 [] [] INFO  [restartedMain] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4426 ms
2025-05-24 15:43:32.749 [] [] INFO  [restartedMain] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-05-24 15:43:32.995 [] [] INFO  [restartedMain] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@5e1b5eb1
2025-05-24 15:43:32.997 [] [] INFO  [restartedMain] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-05-24 15:43:33.196 [] [] INFO  [restartedMain] liquibase.database - Set default schema name to public
2025-05-24 15:43:33.371 [] [] INFO  [restartedMain] liquibase.lockservice - Successfully acquired change log lock
